"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","Это текст 224","This is text 224","","False","context_for_row_224","",""
"","Это текст 225","This is text 225","","False","context_for_row_225","",""
"","Это текст 226","This is text 226","","False","context_for_row_226","",""
"","Это текст 227","This is text 227","","False","context_for_row_227","",""
"","Это текст 228","This is text 228","","False","context_for_row_228","",""
"","Это текст 229","This is text 229","","False","context_for_row_229","",""
"","Это текст 230","This is text 230","","False","context_for_row_230","",""
"","Это текст 231","This is text 231","","False","context_for_row_231","",""
"","Это текст 232","This is text 232","","False","context_for_row_232","",""
"","Это текст 233","This is text 233","","False","context_for_row_233","",""
"","Это текст 234","This is text 234","","False","context_for_row_234","",""
"","Это текст 235","This is text 235","","False","context_for_row_235","",""
"","Это текст 236","This is text 236","","False","context_for_row_236","",""
"","Это текст 237","This is text 237","","False","context_for_row_237","",""
"","Это текст 238","This is text 238","","False","context_for_row_238","",""
"","Это текст 239","This is text 239","","False","context_for_row_239","",""
"","Это текст 240","This is text 240","","False","context_for_row_240","",""
"","Это текст 241","This is text 241","","False","context_for_row_241","",""
"","Это текст 242","This is text 242","","False","context_for_row_242","",""
"","Это текст 243","This is text 243","","False","context_for_row_243","",""
"","Это текст 244","This is text 244","","False","context_for_row_244","",""
"","Это текст 245","This is text 245","","False","context_for_row_245","",""
"","Это текст 246","This is text 246","","False","context_for_row_246","",""
"","Это текст 247","This is text 247","","False","context_for_row_247","",""
"","Это текст 248","This is text 248","","False","context_for_row_248","",""
"","Это текст 249","This is text 249","","False","context_for_row_249","",""
"","Это текст 250","This is text 250","","False","context_for_row_250","",""
"","Это текст 251","This is text 251","","False","context_for_row_251","",""
"","Это текст 252","This is text 252","","False","context_for_row_252","",""
"","Это текст 253","This is text 253","","False","context_for_row_253","",""
"","Это текст 254","This is text 254","","False","context_for_row_254","",""
"","Это текст 255","This is text 255","","False","context_for_row_255","",""
"","Это текст 256","This is text 256","","False","context_for_row_256","",""
"","Это текст 257","This is text 257","","False","context_for_row_257","",""
"","Это текст 258","This is text 258","","False","context_for_row_258","",""
"","Это текст 259","This is text 259","","False","context_for_row_259","",""
"","Это текст 260","This is text 260","","False","context_for_row_260","",""
"","Это текст 261","This is text 261","","False","context_for_row_261","",""
"","Это текст 262","This is text 262","","False","context_for_row_262","",""
"","Это текст 263","This is text 263","","False","context_for_row_263","",""
"","Это текст 264","This is text 264","","False","context_for_row_264","",""
"","Это текст 265","This is text 265","","False","context_for_row_265","",""
"","Это текст 266","This is text 266","","False","context_for_row_266","",""
"","Это текст 267","This is text 267","","False","context_for_row_267","",""
"","Это текст 268","This is text 268","","False","context_for_row_268","",""
"","Это текст 269","This is text 269","","False","context_for_row_269","",""
"","Это текст 270","This is text 270","","False","context_for_row_270","",""
"","Это текст 271","This is text 271","","False","context_for_row_271","",""
"","Это текст 272","This is text 272","","False","context_for_row_272","",""
"","Это текст 273","This is text 273","","False","context_for_row_273","",""
"","Это текст 274","This is text 274","","False","context_for_row_274","",""
"","Это текст 275","This is text 275","","False","context_for_row_275","",""
"","Это текст 276","This is text 276","","False","context_for_row_276","",""
"","Это текст 277","This is text 277","","False","context_for_row_277","",""
"","Это текст 278","This is text 278","","False","context_for_row_278","",""
"","Это текст 279","This is text 279","","False","context_for_row_279","",""
"","Это текст 280","This is text 280","","False","context_for_row_280","",""
"","Это текст 281","This is text 281","","False","context_for_row_281","",""
"","Это текст 282","This is text 282","","False","context_for_row_282","",""
"","Это текст 283","This is text 283","","False","context_for_row_283","",""
"","Это текст 284","This is text 284","","False","context_for_row_284","",""
"","Это текст 285","This is text 285","","False","context_for_row_285","",""
"","Это текст 286","This is text 286","","False","context_for_row_286","",""
"","Это текст 287","This is text 287","","False","context_for_row_287","",""
"","Это текст 288","This is text 288","","False","context_for_row_288","",""
"","Это текст 289","This is text 289","","False","context_for_row_289","",""
"","Это текст 290","This is text 290","","False","context_for_row_290","",""
"","Это текст 291","This is text 291","","False","context_for_row_291","",""
"","Это текст 292","This is text 292","","False","context_for_row_292","",""
"","Это текст 293","This is text 293","","False","context_for_row_293","",""
"","Это текст 294","This is text 294","","False","context_for_row_294","",""
"","Это текст 295","This is text 295","","False","context_for_row_295","",""
"","Это текст 296","This is text 296","","False","context_for_row_296","",""
"","Это текст 297","This is text 297","","False","context_for_row_297","",""
"","Это текст 298","This is text 298","","False","context_for_row_298","",""
"","Это текст 299","This is text 299","","False","context_for_row_299","",""
"","Это текст 300","This is  text 300","","False","context_for_row_300","",""
"","Это текст 301","This is text 301","","False","context_for_row_301","",""
"","Это текст 302","This is text 302","","False","context_for_row_302","",""
"","Это текст 303","This is text 303","","False","context_for_row_303","",""
"","Это текст 304","This is text 304","","False","context_for_row_304","",""
"","Это текст 305","This is text 305","","False","context_for_row_305","",""
"","Это текст 306","This is text 306","","False","context_for_row_306","",""
"","Это текст 307","This is text 307","","False","context_for_row_307","",""
"","Это текст 308","This is text 308","","False","context_for_row_308","",""
"","Это текст 309","This is text 309","","False","context_for_row_309","",""
"","Это текст 310","This is text 310","","False","context_for_row_310","",""
"","Это текст 311","This is text 311","","False","context_for_row_311","",""
"","Это текст 312","This is text 312","","False","context_for_row_312","",""
"","Это текст 313","This is text 313","","False","context_for_row_313","",""
"","Это текст 314","This is text 314","","False","context_for_row_314","",""
"","Это текст 315","This is text 315","","False","context_for_row_315","",""
"","Это текст 316","This is text 316","","False","context_for_row_316","",""
"","Это текст 317","This is text 317","","False","context_for_row_317","",""
"","Это текст 318","This is text 318","","False","context_for_row_318","",""
"","Это текст 319","This is text 319","","False","context_for_row_319","",""
"","Это текст 320","This is text 320","","False","context_for_row_320","",""
"","Это текст 321","This is text 321","","False","context_for_row_321","",""
"","Это текст 322","This is text 322","","False","context_for_row_322","",""
"","Это текст 323","This is text 323","","False","context_for_row_323","",""
"","Это текст 324","This is text 324","","False","context_for_row_324","",""
"","Это текст 325","This is text 325","","False","context_for_row_325","",""
"","Это текст 326","This is text 326","","False","context_for_row_326","",""
"","Это текст 327","This is text 327","","False","context_for_row_327","",""
"","Это текст 328","This is text 328","","False","context_for_row_328","",""
"","Это текст 329","This is text 329","","False","context_for_row_329","",""
"","Это текст 330","This is text 330","","False","context_for_row_330","",""
"","Это текст 331","This is text 331","","False","context_for_row_331","",""
"","Это текст 332","This is text 332","","False","context_for_row_332","",""
"","Это текст 333","This is text 333","","False","context_for_row_333","",""
"","Это текст 334","This is text 334","","False","context_for_row_334","",""
"","Это текст 335","This is text 335","","False","context_for_row_335","",""
"","Это текст 336","This is text 336","","False","context_for_row_336","",""
"","Это текст 337","This is text 337","","False","context_for_row_337","",""
"","Это текст 338","This is text 338","","False","context_for_row_338","",""
"","Это текст 339","This is text 339","","False","context_for_row_339","",""
"","Это текст 340","This is text 340","","False","context_for_row_340","",""
"","Это текст 341","This is text 341","","False","context_for_row_341","",""
"","Это текст 342","This is text 342","","False","context_for_row_342","",""
"","Это текст 343","This is text 343","","False","context_for_row_343","",""
"","Это текст 344","This is text 344","","False","context_for_row_344","",""
"","Это текст 345","This is text 345","","False","context_for_row_345","",""
"","Это текст 346","This is text 346","","False","context_for_row_346","",""
"","Это текст 347","This is text 347","","False","context_for_row_347","",""
"","Это текст 348","This is text 348","","False","context_for_row_348","",""
"","Это текст 349","This is text 349","","False","context_for_row_349","",""
"","Это текст 350","This is text 350","","False","context_for_row_350","",""
"","Это текст 351","This is text 351","","False","context_for_row_351","",""
"","Это текст 352","This is text 352","","False","context_for_row_352","",""
"","Это текст 353","This is text 353","","False","context_for_row_353","",""
"","Это текст 354","This is text 354","","False","context_for_row_354","",""
"","Это текст 355","This is text 355","","False","context_for_row_355","",""
"","Это текст 356","This is text 356","","False","context_for_row_356","",""
"","Это текст 357","This is text 357","","False","context_for_row_357","",""
"","Это текст 358","This is text 358","","False","context_for_row_358","",""
"","Это текст 359","This is text 359","","False","context_for_row_359","",""
"","Это текст 360","This is  text 360","","False","context_for_row_360","",""
"","Это текст 361","This is text 361","","False","context_for_row_361","",""
"","Это текст 362","This is text 362","","False","context_for_row_362","",""
"","Это текст 363","This is text 363","","False","context_for_row_363","",""
"","Это текст 364","This is text 364","","False","context_for_row_364","",""
"","Это текст 365","This is text 365","","False","context_for_row_365","",""
"","Это текст 366","This is text 366","","False","context_for_row_366","",""
"","Это текст 367","This is text 367","","False","context_for_row_367","",""
"","Это текст 368","This is text 368","","False","context_for_row_368","",""
"","Это текст 369","This is text 369","","False","context_for_row_369","",""
"","Это текст 370","This is text 370","","False","context_for_row_370","",""
"","Это текст 371","This is text 371","","False","context_for_row_371","",""
"","Это текст 372","This is text 372","","False","context_for_row_372","",""
"","Это текст 373","This is text 373","","False","context_for_row_373","",""
"","Это текст 374","This is text 374","","False","context_for_row_374","",""
"","Это текст 375","This is text 375","","False","context_for_row_375","",""
"","Это текст 376","This is text 376","","False","context_for_row_376","",""
"","Это текст 377","This is text 377","","False","context_for_row_377","",""
"","Это текст 378","This is text 378","","False","context_for_row_378","",""
"","Это текст 379","This is text 379","","False","context_for_row_379","",""
"","Это текст 380","This is text 380","","False","context_for_row_380","",""
"","Это текст 381","This is text 381","","False","context_for_row_381","",""
"","Это текст 382","This is text 382","","False","context_for_row_382","",""
"","Это текст 383","This is text 383","","False","context_for_row_383","",""
"","Это текст 384","This is text 384","","False","context_for_row_384","",""
"","Это текст 385","This is text 385","","False","context_for_row_385","",""
"","Это текст 386","This is text 386","","False","context_for_row_386","",""
"","Это текст 387","This is text 387","","False","context_for_row_387","",""
"","Это текст 388","This is text 388","","False","context_for_row_388","",""
"","Это текст 389","This is text 389","","False","context_for_row_389","",""
"","Это текст 390","This is text 390","","False","context_for_row_390","",""
"","Это текст 391","This is text 391","","False","context_for_row_391","",""
"","Это текст 392","This is text 392","","False","context_for_row_392","",""
"","Это текст 393","This is text 393","","False","context_for_row_393","",""
"","Это текст 394","This is text 394","","False","context_for_row_394","",""
"","Это текст 395","This is text 395","","False","context_for_row_395","",""
"","Это текст 396","This is text 396","","False","context_for_row_396","",""
"","Это текст 397","This is text 397","","False","context_for_row_397","",""
"","Это текст 398","This is text 398","","False","context_for_row_398","",""
"","Это текст 399","This is text 399","","False","context_for_row_399","",""
"","Это текст 400","This is text 400","","False","context_for_row_400","",""
"","Это текст 401","This is text 401","","False","context_for_row_401","",""
"","Это текст 402","This is text 402","","False","context_for_row_402","",""
"","Это текст 403","This is text 403","","False","context_for_row_403","",""
"","Это текст 404","This is text 404","","False","context_for_row_404","",""
"","Это текст 405","This is text 405","","False","context_for_row_405","",""
"","Это текст 406","This is text 406","","False","context_for_row_406","",""
"","Это текст 407","This is text 407","","False","context_for_row_407","",""
"","Это текст 408","This is text 408","","False","context_for_row_408","",""
"","Это текст 409","This is text 409","","False","context_for_row_409","",""
"","Это текст 410","This is text 410","","False","context_for_row_410","",""
"","Это текст 411","This is text 411","","False","context_for_row_411","",""
"","Это текст 412","This is text 412","","False","context_for_row_412","",""
"","Это текст 413","This is text 413","","False","context_for_row_413","",""
"","Это текст 414","This is text 414","","False","context_for_row_414","",""
"","Это текст 415","This is text 415","","False","context_for_row_415","",""
"","Это текст 416","This is text 416","","False","context_for_row_416","",""
"","Это текст 417","This is text 417","","False","context_for_row_417","",""
"","Это текст 418","This is text 418","","False","context_for_row_418","",""
"","Это текст 419","This is text 419","","False","context_for_row_419","",""
"","Это текст 420","This is text 420","","False","context_for_row_420","",""
"","Это текст 421","This is text 421","","False","context_for_row_421","",""
"","Это текст 422","This is text 422","","False","context_for_row_422","",""
"","Это текст 423","This is text 423","","False","context_for_row_423","",""
"","Это текст 424","This is text 424","","False","context_for_row_424","",""
"","Это текст 425","This is text 425","","False","context_for_row_425","",""
"","Это текст 426","This is text 426","","False","context_for_row_426","",""
"","Это текст 427","This is text 427","","False","context_for_row_427","",""
"","Это текст 428","This is text 428","","False","context_for_row_428","",""
"","Это текст 429","This is text 429","","False","context_for_row_429","",""
"","Это текст 430","This is text 430","","False","context_for_row_430","",""
"","Это текст 431","This is text 431","","False","context_for_row_431","",""
"","Это текст 432","This is text 432","","False","context_for_row_432","",""
"","Это текст 433","This is text 433","","False","context_for_row_433","",""
"","Это текст 434","This is text 434","","False","context_for_row_434","",""
"","Это текст 435","This is text 435","","False","context_for_row_435","",""
"","Это текст 436","This is text 436","","False","context_for_row_436","",""
"","Это текст 437","This is text 437","","False","context_for_row_437","",""
"","Это текст 438","This is text 438","","False","context_for_row_438","",""
"","Это текст 439","This is text 439","","False","context_for_row_439","",""
"","Это текст 440","This is text 440","","False","context_for_row_440","",""
"","Это текст 441","This is text 441","","False","context_for_row_441","",""
"","Это текст 442","This is text 442","","False","context_for_row_442","",""
"","Это текст 443","This is text 443","","False","context_for_row_443","",""
"","Это текст 444","This is text 444","","False","context_for_row_444","",""
"","Это текст 445","This is text 445","","False","context_for_row_445","",""
"","Это текст 446","This is text 446","","False","context_for_row_446","",""
"","Это текст 447","This is text 447","","False","context_for_row_447","",""
"","Это текст 448","This is text 448","","False","context_for_row_448","",""
"","Это текст 449","This is text 449","","False","context_for_row_449","",""
"","Это текст 450","This is text 450","","False","context_for_row_450","",""
"","Это текст 451","This is text 451","","False","context_for_row_451","",""
"","Это текст 452","This is text 452","","False","context_for_row_452","",""
"","Это текст 453","This is text 453","","False","context_for_row_453","",""
"","Это текст 454","This is text 454","","False","context_for_row_454","",""
"","Это текст 455","This is text 455","","False","context_for_row_455","",""
"","Это текст 456","This is text 456","","False","context_for_row_456","",""
"","Это текст 457","This is text 457","","False","context_for_row_457","",""
"","Это текст 458","This is text 458","","False","context_for_row_458","",""
"","Это текст 459","This is text 459","","False","context_for_row_459","",""
"","Это текст 460","This is text 460","","False","context_for_row_460","",""
"","Это текст 461","This is text 461","","False","context_for_row_461","",""
"","Это текст 462","This is text 462","","False","context_for_row_462","",""
"","Это текст 463","This is text 463","","False","context_for_row_463","",""
"","Это текст 464","This is text 464","","False","context_for_row_464","",""
"","Это текст 465","This is text 465","","False","context_for_row_465","",""
"","Это текст 466","This is text 466","","False","context_for_row_466","",""
"","Это текст 467","This is text 467","","False","context_for_row_467","",""
"","Это текст 468","This is text 468","","False","context_for_row_468","",""
"","Это текст 469","This is text 469","","False","context_for_row_469","",""
"","Это текст 470","This is text 470","","False","context_for_row_470","",""
"","Это текст 471","This is text 471","","False","context_for_row_471","",""
"","Это текст 472","This is text 472","","False","context_for_row_472","",""
"","Это текст 473","This is text 473","","False","context_for_row_473","",""
"","Это текст 474","This is text 474","","False","context_for_row_474","",""
"","Это текст 475","This is text 475","","False","context_for_row_475","",""
"","Это текст 476","This is text 476","","False","context_for_row_476","",""
"","Это текст 477","This is  text 477","","False","context_for_row_477","",""
"","Это текст 478","This is text 478","","False","context_for_row_478","",""
"","Это текст 479","This is text 479","","False","context_for_row_479","",""
